,Car_type,Fuel_type,Drive,Fuel_consumtion,vehicle_brand,Transmission,cylinder,cubic_capacity
31072,Special Purpose Vehicle 2WD,Premium,Rear-Wheel Drive,14.9822727272727,Mercedes-Benz,Automatic 7-spd,4.0,2.0
31073,Compact Cars,Premium,All-Wheel Drive,15.6957142857143,Lexus,Automatic (S6),6.0,3.5
31074,Standard Pickup Trucks,Diesel,4-Wheel or All-Wheel Drive,22.4814705882353,GMC,Manual 4-spd,8.0,6.2
31075,Compact Cars,Premium,Rear-Wheel Drive,14.9822727272727,Lexus,Automatic (S8),6.0,3.5
31076,Compact Cars,Premium,All-Wheel Drive,15.6957142857143,Lexus,Automatic (S6),6.0,3.5
31077,Compact Cars,Premium,Rear-Wheel Drive,12.6773076923077,Lexus,Automatic (S8),4.0,2.0
31078,Large Cars,Premium,Rear-Wheel Drive,18.3116666666667,Jaguar,Automatic (S8),8.0,5.0
31079,Large Cars,Premium,Rear-Wheel Drive,18.3116666666667,Jaguar,Automatic (S8),8.0,5.0
31080,Large Cars,Premium,Rear-Wheel Drive,15.6957142857143,Jaguar,Automatic (S8),6.0,3.0
31081,Large Cars,Premium,All-Wheel Drive,16.4805,Jaguar,Automatic (S8),6.0,3.0
31082,Large Cars,Premium,All-Wheel Drive,16.4805,Jaguar,Automatic (S8),6.0,3.0
31083,Large Cars,Premium,Rear-Wheel Drive,15.6957142857143,Jaguar,Automatic (S8),6.0,3.0
31084,Small Sport Utility Vehicle 2WD,Regular,Front-Wheel Drive,13.73375,Ford,Automatic (S6),4.0,2.0
31085,Standard Pickup Trucks,Regular,4-Wheel or All-Wheel Drive,18.3116666666667,Jeep,Automatic 4-spd,4.0,2.5
31086,Small Sport Utility Vehicle 2WD,Regular,Front-Wheel Drive,13.73375,Ford,Automatic (S6),4.0,2.0
31087,Small Sport Utility Vehicle 2WD,Regular,Front-Wheel Drive,16.4805,Ford,Automatic (S6),6.0,3.5
31088,Small Sport Utility Vehicle 4WD,Regular,All-Wheel Drive,14.3308695652174,Ford,Automatic (S6),4.0,2.0
